finance_id,product_id,date,address,units_sold,price,total_revenue,profit,revenue_per_unit,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding,extra_null_col1,extra_null_col2,Product_Name
FIN-TATA-2025-86940,MATZ46Q6ERMEH67YL,01-01-2025,"Toronto, Canada",9754.66,35000,1397.68,118.8,7395.46,5452.1,1966.64,28875,7461.66,5525.72,5445.31,2663.39,2156.72,7261.09,4849.78,8109.17,2338.44,8048.25,4702.91,2035.66,6384.35,4590.05,3163.78,3491.89,3920.45,978.48,4604.63,69.61,, ,Tata Curvv – Electric
FIN-TATA-2025-37040,SALO34XG7GSYSXZ1Z,01-01-2025,"Jamshedpur, India",5421.86,22000,6054.86,9608.99,9495.22,3639.66,9785.12,14300,969.7,9545.12,4194.57,2621.91,5023.37,5604.59,8015.52,4028.96,8121.18,6471.25,4887.54,8514.61,8934.1,548.58,8186.32,167.56,1431.13,3898.89,5003.55,1356.43,, ,Jaguar F-Type – Petrol
FIN-TATA-2025-90287,MATWS7VCB7XBJXWX3,01-01-2025,"Dhaka, Bangladesh",6194.41,35000,2487.86,1379.16,6249.16,5049,7072.49,28875,6103.46,8487.98,995.8,7891.92,4442.72,5322.98,1669.7,9304.04,6714.42,8601.11,3652.38,9993.9,9993.8,8675.39,9556.76,7718.68,2119.52,2076.03,2358.73,9746.22,, ,Tata Punch EV – Electric
FIN-TATA-2025-96295,SAL39BRJIEC2SIQP7,01-01-2025,"Dhaka, Bangladesh",9672.64,22000,5479.28,6974.85,5498.11,5933.68,8598.89,16500,9851.38,3106.1,2475.79,4218.21,4804.22,2907.95,2736.38,4728.2,5881,6870.4,1388.59,9839.81,6310.57,1910.8,9832.16,5706.62,8900.54,8380.61,7288.71,8897.08,, ,Discovery Sport – Petrol
FIN-TATA-2025-50131,MAT7EA9Q3EPNFU1MG,01-01-2025,"Graz, Austria",9346.12,35000,8925.47,7863.69,8332.02,1247.12,8723.3,28875,6299.25,4332.6,437.9,7099.04,1009.32,568.9,490.44,8455.73,2275.75,2395.29,7958.05,6703.18,762.95,7312.8,1800.73,3375.76,3660.62,1707.58,8694.23,3340.37,, ,Tata Tigor EV – Electric
FIN-TATA-2025-75658,MATOBD347CCYR9YEI,01-01-2025,"Coventry, UK",7119.08,35000,3541.83,479.95,3924.32,1492.65,5586.98,31955,2769.88,6103.69,4256.02,1346.52,5194.7,9183.51,8379.11,8096.52,1567.41,1025.56,2884.8,78.36,8865.26,2760.87,102.73,5587.7,9851.64,2599.22,9422.31,8980.99,, ,Tata Curvv – Electric
FIN-TATA-2025-22273,MATL0POTOLGXAZCL9,01-01-2025,"Graz, Austria",4100.66,22000,5251.74,49.5,4997.72,2934.45,3212.21,16500,9039.73,4312.07,9256.25,2167.54,250.9,1502.02,6982.25,7626.15,6086.37,4705.06,2149.4,4159.02,2427.14,5075.21,2761.63,2467.39,4568.67,7131.72,1008.59,34.41,, ,Tata Tigor – Petrol
FIN-TATA-2025-75107,MATWQPMYOT19RBNE8,01-01-2025,"Jakarta, Indonesia",2091.61,20000,9677.63,9209.85,9806.06,9049.36,2408.93,15000,7282.3,9251.03,8070.07,9783.39,5031.08,9401.96,7659.08,9319.16,1838.08,9538.64,7151.82,2949.05,5933.09,4342.4,7076.59,9668.56,2573.03,4150.17,9783.26,1004.84,, ,Tata Tiago – CNG
FIN-TATA-2025-30116,MAT6WHP1210ZAWC7Z,01-01-2025,"Buenos Aires, Argentina",1548.29,35000,91.73,5255.69,8676.68,8382.2,2073.76,28875,2622,8236.89,6741.19,6293.08,5493.15,7385.31,7421.63,7005.07,8689.96,7988.75,7492.43,9971.02,1646.67,3195.56,7596.05,9440.87,253.91,6867.6,5563.22,6404.9,, ,Tata Tigor EV – Electric
FIN-TATA-2025-87607,SALBKQUKRYOVVVJNY,01-01-2025,"Buenos Aires, Argentina",7184.8,28000,8507.74,646.13,743.74,1780.48,2306.13,22050,1039.55,2452.94,2611.85,8267.45,1545.99,5963.03,475.45,363.12,7913.05,5875.67,125.3,3182.08,3058.41,6095.21,710.31,4578.24,2508.18,219.75,1622.24,336.09,, ,Land Rover Defender – Diesel
